행정구역,생활밀접업종,2021년 1분기,,2022년 1분기,,2023년 1분기,,행정구역,생활밀접업종,2021년 1분기,,2022년 1분기,,2023년 1분기,,행정구역,생활밀접업종,2021년 1분기,,2022년 1분기,,2023년 1분기,,행정구역,생활밀접업종,2021년 1분기,,2022년 1분기,,2023년 1분기,,행정구역,생활밀접업종,2021년 1분기,,2022년 1분기,,2023년 1분기,,행정구역,생활밀접업종,2021년 1분기,,2022년 1분기,,2023년 1분기,,행정구역,생활밀접업종,2021년 1분기,,2022년 1분기,,2023년 1분기,,행정구역,생활밀접업종,2021년 1분기,,2022년 1분기,,2023년 1분기,,행정구역,생활밀접업종,2021년 1분기,,2022년 1분기,,2023년 1분기,,행정구역,생활밀접업종,2021년 1분기,,2022년 1분기,,2023년 1분기,
,,평균영업기간,,평균영업기간,,평균영업기간,,,,평균영업기간,,평균영업기간,,평균영업기간,,,,평균영업기간,,평균영업기간,,평균영업기간,,,,평균영업기간,,평균영업기간,,평균영업기간,,,,평균영업기간,,평균영업기간,,평균영업기간,,,,평균영업기간,,평균영업기간,,평균영업기간,,,,평균영업기간,,평균영업기간,,평균영업기간,,,,평균영업기간,,평균영업기간,,평균영업기간,,,,평균영업기간,,평균영업기간,,평균영업기간,,,,평균영업기간,,평균영업기간,,평균영업기간,
,,최근10년기준,최근30년기준,최근10년기준,최근30년기준,최근10년기준,최근30년기준,,,최근10년기준,최근30년기준,최근10년기준,최근30년기준,최근10년기준,최근30년기준,,,최근10년기준,최근30년기준,최근10년기준,최근30년기준,최근10년기준,최근30년기준,,,최근10년기준,최근30년기준,최근10년기준,최근30년기준,최근10년기준,최근30년기준,,,최근10년기준,최근30년기준,최근10년기준,최근30년기준,최근10년기준,최근30년기준,,,최근10년기준,최근30년기준,최근10년기준,최근30년기준,최근10년기준,최근30년기준,,,최근10년기준,최근30년기준,최근10년기준,최근30년기준,최근10년기준,최근30년기준,,,최근10년기준,최근30년기준,최근10년기준,최근30년기준,최근10년기준,최근30년기준,,,최근10년기준,최근30년기준,최근10년기준,최근30년기준,최근10년기준,최근30년기준,,,최근10년기준,최근30년기준,최근10년기준,최근30년기준,최근10년기준,최근30년기준
성동구,외식업/,2.8년,4.9년,2.9년,4.9년,3년,5년,성동구,외식업/,2.8년,4.5년,2.7년,4.5년,2.8년,4.6년,성동구,외식업/,2.5년,3.8년,2.6년,3.8년,2.6년,3.8년,성동구,외식업/,2.3년,3.4년,2.3년,3.3년,2.4년,3.4년,성동구,외식업/,2.6년,4.1년,2.6년,4.1년,2.7년,4.1년,성동구,외식업/,2.8년,3.9년,2.7년,3.8년,2.8년,3.9년,성동구,외식업/,2.6년,4.6년,2.6년,4.6년,2.7년,4.7년,성동구,외식업/,2.5년,4년,2.4년,4년,2.4년,3.9년,성동구,외식업/,2.9년,4.4년,2.9년,4.5년,2.9년,4.5년,성동구,외식업/,2.8년,3.3년,2.7년,3.3년,2.7년,3.4년
,한식음식점,,,,,,,,중식음식점,,,,,,,,일식음식점,,,,,,,,양식음식점,,,,,,,,제과점,,,,,,,,패스트푸드점,,,,,,,,치킨전문점,,,,,,,,분식전문점,,,,,,,,호프-간이주점,,,,,,,,커피-음료,,,,,,
광진구,외식업/,2.8년,4.6년,2.8년,4.7년,2.8년,4.7년,광진구,외식업/,2.8년,4.1년,2.9년,4.2년,2.9년,4.2년,광진구,외식업/,2.7년,4.2년,2.7년,4.2년,2.7년,4.2년,광진구,외식업/,2.5년,3.9년,2.5년,3.9년,2.7년,4년,광진구,외식업/,2.8년,4.6년,2.7년,4.6년,2.7년,4.7년,광진구,외식업/,3년,4.7년,2.8년,4.6년,2.7년,4.6년,광진구,외식업/,2.5년,4.3년,2.5년,4.3년,2.6년,4.4년,광진구,외식업/,2.4년,3.9년,2.4년,3.9년,2.3년,3.9년,광진구,외식업/,2.8년,4.2년,2.8년,4.2년,2.9년,4.3년,광진구,외식업/,2.7년,3.5년,2.6년,3.5년,2.6년,3.5년
,한식음식점,,,,,,,,중식음식점,,,,,,,,일식음식점,,,,,,,,양식음식점,,,,,,,,제과점,,,,,,,,패스트푸드점,,,,,,,,치킨전문점,,,,,,,,분식전문점,,,,,,,,호프-간이주점,,,,,,,,커피-음료,,,,,,
동대문구,외식업/,2.8년,4.7년,2.8년,4.7년,2.9년,4.8년,동대문구,외식업/,2.6년,4.4년,2.6년,4.4년,2.6년,4.4년,동대문구,외식업/,2.6년,4.1년,2.6년,4.1년,2.6년,4.1년,동대문구,외식업/,2.7년,3.9년,2.7년,3.9년,2.8년,4년,동대문구,외식업/,2.5년,5년,2.6년,5년,2.6년,5년,동대문구,외식업/,3년,4.4년,2.8년,4.3년,3년,4.5년,동대문구,외식업/,2.5년,4.2년,2.5년,4.2년,2.6년,4.2년,동대문구,외식업/,2.6년,3.9년,2.6년,4년,2.5년,4년,동대문구,외식업/,2.7년,4.5년,2.6년,4.6년,2.6년,4.6년,동대문구,외식업/,2.9년,3.5년,2.7년,3.5년,2.6년,3.4년
,한식음식점,,,,,,,,중식음식점,,,,,,,,일식음식점,,,,,,,,양식음식점,,,,,,,,제과점,,,,,,,,패스트푸드점,,,,,,,,치킨전문점,,,,,,,,분식전문점,,,,,,,,호프-간이주점,,,,,,,,커피-음료,,,,,,
중랑구,외식업/,2.7년,4.5년,2.7년,4.5년,2.8년,4.6년,중랑구,외식업/,2.3년,4.1년,2.3년,4.1년,2.3년,4년,중랑구,외식업/,2.6년,3.8년,2.7년,3.8년,2.8년,3.8년,중랑구,외식업/,2.5년,3.6년,2.5년,3.6년,2.4년,3.6년,중랑구,외식업/,2.4년,4.4년,2.4년,4.4년,2.6년,4.5년,중랑구,외식업/,2.8년,4.1년,2.7년,4년,2.8년,4.2년,중랑구,외식업/,2.3년,3.9년,2.2년,3.9년,2.3년,4년,중랑구,외식업/,2.4년,3.8년,2.4년,3.8년,2.4년,3.8년,중랑구,외식업/,2.4년,4년,2.5년,4년,2.4년,4년,중랑구,외식업/,2.6년,3.2년,2.5년,3.1년,2.4년,3.1년
,한식음식점,,,,,,,,중식음식점,,,,,,,,일식음식점,,,,,,,,양식음식점,,,,,,,,제과점,,,,,,,,패스트푸드점,,,,,,,,치킨전문점,,,,,,,,분식전문점,,,,,,,,호프-간이주점,,,,,,,,커피-음료,,,,,,
성북구,외식업/,2.8년,4.9년,2.9년,4.9년,3년,5년,성북구,외식업/,2.9년,5.1년,2.9년,5.1년,2.9년,5.1년,성북구,외식업/,2.6년,4년,2.6년,4년,2.7년,4.1년,성북구,외식업/,2.6년,3.8년,2.7년,3.9년,2.9년,4년,성북구,외식업/,3년,5.1년,2.9년,5.1년,2.9년,5.1년,성북구,외식업/,3.1년,4.7년,2.9년,4.7년,3.1년,4.8년,성북구,외식업/,2.8년,4.5년,2.6년,4.5년,2.7년,4.5년,성북구,외식업/,2.6년,3.8년,2.7년,3.9년,2.6년,3.9년,성북구,외식업/,2.8년,4.3년,2.8년,4.4년,2.9년,4.5년,성북구,외식업/,2.7년,3.4년,2.7년,3.5년,2.7년,3.5년
,한식음식점,,,,,,,,중식음식점,,,,,,,,일식음식점,,,,,,,,양식음식점,,,,,,,,제과점,,,,,,,,패스트푸드점,,,,,,,,치킨전문점,,,,,,,,분식전문점,,,,,,,,호프-간이주점,,,,,,,,커피-음료,,,,,,
